nume_actiune,ora
A user entered the program.,03-5-2021 08:37
A user entered the program.,04-5-2021 10:55
The name of the library was set.,04-5-2021 10:55
All the books in the file have been displayed.,04-5-2021 10:55
All the authors in the file have been displayed,04-5-2021 10:55
All the readers in the file have been displayed,04-5-2021 10:55
All the accounts in the file have been displayed,04-5-2021 10:56
A book has been added in the file.,04-5-2021 10:56
All the authors in the file have been displayed,04-5-2021 10:56
A book has been deleted.,04-5-2021 10:56
A date of return was extended.,04-5-2021 10:57
An author was added.,04-5-2021 10:58
An account was updated.,04-5-2021 10:58
An book was searched.,04-5-2021 10:58
An book was searched.,04-5-2021 10:58
